788883,7,1,1,1,1,1,1,1,0,0,0,20,0,20,20,17880751,1,6,1,1,0,2000,1,1,0
751889,6,87,2,1,2,2,4,2,2,0,2,30,2,34,34,16157250,2,10,1,1,0,6213,1,1,0
751889,6,87,2,1,2,2,4,2,2,0,2,30,2,34,34,16157251,3,10,20,1,0,109,2,1,0
797313,8,12,3,1,4,2,4,3,1,29,1,11,8,21,50,17416470,4,14,21,1,0,12329,2,1,0
794159,9,4,4,1,5,2,4,4,1,1,2,55,2,60,61,17344434,5,14,21,1,0,13449,1,1,0
794159,9,4,4,1,5,2,4,4,1,1,2,55,2,60,61,17344435,4,14,21,1,0,17187,1,1,0
794200,8,12,3,1,5,2,4,3,1,16,2,15,3,21,37,17344478,4,14,21,1,0,17307,2,1,0
761217,9,4,4,1,2,2,4,4,1,38,2,19,2,24,63,16367646,6,14,1,1,0,6468,1,1,0
794196,8,12,3,1,5,2,4,3,1,7,4,16,2,23,30,17344471,4,14,21,1,0,17229,2,1,0
800553,9,4,4,1,4,2,4,4,1,1,4,44,2,50,52,17551294,4,14,21,1,0,7939,1,1,0
800553,9,4,4,1,4,2,4,4,1,1,4,44,2,50,52,17551295,4,14,21,1,0,13255,1,1,0
800553,9,4,4,1,4,2,4,4,1,1,4,44,2,50,52,17551296,4,14,21,1,0,4338,1,1,0
800553,9,4,4,1,4,2,4,4,1,1,4,44,2,50,52,17551297,5,14,21,1,0,335,1,1,0
784016,6,87,2,1,1,2,4,2,2,0,1,24,8,34,34,17013657,7,10,1,1,0,4046,1,1,0
784016,6,87,2,1,1,2,4,2,2,0,1,24,8,34,34,17013658,3,10,20,1,0,631,2,1,0
784016,6,87,2,1,1,2,4,2,2,0,1,24,8,34,34,17013659,3,10,20,3,0,2,2,1,0
802142,16,18,16,1,8,2,4,7,2,2,4,17,4,25,28,17575382,8,18,21,1,0,17199,2,1,0
811514,12,19,12,1,8,2,4,8,1,10,3,23,4,31,41,17876887,9,32,21,1,0,17489,1,1,0
811514,12,19,12,1,8,2,4,8,1,10,3,23,4,31,41,17876888,9,32,21,1,0,5764,1,1,0
801565,9,4,4,1,4,2,4,4,1,1,2,33,2,39,40,17562031,4,14,21,1,0,11234,1,1,0
801565,9,4,4,1,4,2,4,4,1,1,2,33,2,39,40,17562032,5,14,21,1,0,6701,1,1,0
788167,8,12,3,1,1,2,4,3,1,18,2,14,3,19,38,17126683,4,14,21,1,0,15739,2,1,0
783102,9,4,4,1,6,2,4,4,1,1,4,44,1,49,50,17001291,4,14,1,1,0,25367,1,1,0
808723,13,25,13,1,8,2,4,9,1,60,4,32,5,42,103,17797891,8,18,21,1,0,34511,1,1,0
754727,13,15,13,1,11,2,4,10,1,0,9,26,4,40,40,16201621,15,33,1,1,0,16843,2,1,0
754708,13,27,13,1,11,2,4,13,1,204,0,168,0,0,0,16201330,2,18,1,1,0,25104,1,1,0
775454,13,27,13,1,7,2,4,13,1,1,7,0,16,0,328,16773598,16,18,1,1,0,26840,1,1,0
812660,23,28,17,1,3,2,4,18,2,0,4,52,14,70,70,17896605,24,34,1,1,0,25945,1,1,0
812660,23,28,17,1,3,2,4,18,2,0,4,52,14,70,70,17896606,25,34,20,3,0,0,1,1,0
747662,12,29,12,1,11,2,4,8,1,65,5,13,0,82,147,16036817,15,32,1,1,0,16891,1,1,0
764881,33,30,18,1,3,2,4,19,2,20,4,19,2,26,46,16504827,26,40,1,1,0,5448,1,1,0
764881,33,30,18,1,3,2,4,19,2,20,4,19,2,26,46,16504828,27,34,1,1,0,5550,2,1,0
775033,12,7,12,1,7,2,4,8,1,126,3,27,3,34,160,16725905,6,18,1,1,0,31629,2,1,0
735424,6,87,2,1,9,2,4,2,2,0,4,24,5,34,34,15693612,2,10,1,1,0,7116,1,1,0
806163,25,24,19,1,8,2,4,20,2,12,1,64,3,69,82,17713196,28,18,21,1,0,17061,2,1,0
