1,""
2,7318
3,7320
4,7326
5,7415
6,7616
7,8409
8,8421
9,8482
10,8483
11,8484
12,8511
13,8536
14,8544
15,7210
16,7212
17,3919
18,3926
19,4009
20,4016
21,4504
22,5607
23,3921
24,3923
25,4819
26,7314
27,8302
28,8414
29,8501
30,8504
31,8516
32,8532
33,8535
34,8539
35,8540
36,8541
37,9032
38,4008
39,4821
40,5602
41,6307
42,8517
43,8522
44,8529
45,8542
46,8543
47,3908
48,8502
49,3920
50,3901
51,3909
52,4811
53,7317
54,8533
55,8538
56,2811
57,3208
58,3403
59,3506
60,3814
61,3910
62,3924
63,4010
64,4823
65,4901
66,4911
67,7211
68,7408
69,7615
70,8311
71,8531
72,8534
73,8547
74,9013
75,5903
76,7019
77,8518
78,1301
79,1515
80,2817
81,2823
82,2835
83,2836
84,2906
85,2907
86,2918
87,2932
88,2936
89,3302
90,3902
91,3906
92,3907
93,3911
94,4001
95,7607
96,5806
97,8205
98,8506
99,9029
100,9506
101,5603
102,6601
103,8415
104,3917
105,7217
106,7412
107,7419
108,8481
109,8505
110,8427
111,8428
112,8464
113,8208
114,8419
115,8477
116,8479
117,2839
118,3215
119,6805
120,8310
121,8443
122,8471
123,8473
124,8523
125,8546
126,9612
127,2710
128,2712
129,2807
130,2905
131,3402
132,3819
133,3820
134,8537
135,3824
136,4011
137,4017
138,4202
139,4908
140,5704
141,6812
142,7009
143,7225
144,7226
145,7304
146,7306
147,7307
148,7312
149,7315
150,8204
151,8206
152,8301
153,8407
154,8411
155,8413
156,8487
157,8507
158,8512
159,8526
160,8714
161,9025
162,9026
163,9608
164,8452
165,CA01
166,2916
167,2921
168,8002
169,8003
170,7229
171,2929
172,9405
173,9603
174,2903
175,1302
176,2106
177,7004
178,7325
179,8431
180,8708
181,6815
182,3912
183,2924
184,1109
185,3206
186,4205
187,9103
188,8423
189,8521
190,8525
191,9105
192,2004
193,4403
194,8212
195,8711
196,7204
197,4407
