1,20
2,34
3,50
4,61
5,37
6,63
7,30
8,52
9,28
10,41
11,40
12,38
13,103
14,0
15,328
16,70
17,147
18,46
19,160
20,82
21,47
22,25
23,56
24,98
25,120
26,154
27,24
28,81
29,51
30,22
31,26
32,69
33,93
34,138
35,86
36,12
37,8
38,10
39,4
40,3
41,5
42,15
43,11
44,21
45,58
46,7
47,44
48,36
49,6
50,18
51,35
52,31
53,29
54,27
55,2
56,19
57,16
58,13
59,9
60,49
61,105
62,17
63,14
64,23
65,84
66,48
67,39
68,72
69,100
70,66
71,32
72,133
73,42
74,55
75,74
76,62
77,33
78,122
79,45
80,68
81,60
82,57
83,76
84,54
85,64
86,1
87,79
88,89
89,75
90,43
91,67
92,96
