Id, Descri��o
1,101
2,BELM201
3,"Quadro de Bóias"
4,"POF 3"
5,PP-4
6,"Pier de Granéis Líquidos 3 - A"
7,"Pier de Granéis Líquidos 2 - Berço Oeste"
8,"Cais de Múltiplos Usos - Berço - Leste"
9,501
10,PP-2
11,PP-1
12,GUAM-QB
13,"ALAMOA 1"
14,"Pier - Berço Sul"
15,"Berço 7"
16,"ALAMOA 2"
17,T1
18,"Cais Comercial"
