idatracacao,cdtup,berco,portoatracacao,ano,mes,tipooperacao,tiponavegacaoatracacao,terminal,nacionalidadearmador,tesperaatracacao,tesperacainicioop,toperacao,tesperadesatracacao,tatracado,testadia,idcarga,origem,destino,cdmercadoria,naturezacarga,qtcarga,pesocargabruta,sentido,cdmercadoria_cntr,pesocarga_cntr
753348,BRARE,T1,"Areia Branca",2016,mar,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,7,0,3,0,3,10,16179751,BRSAL,BRARE,2501,"Granel Sólido",0,861,Desembarcados,"",0
753607,BRARE,T1,"Areia Branca",2016,mar,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,26,2,3,0,5,31,16183084,BRSAL,BRARE,2501,"Granel Sólido",0,950,Desembarcados,"",0
753384,BRARE,T1,"Areia Branca",2016,mar,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,8,0,15,0,15,24,16179785,BRSAL,BRARE,2501,"Granel Sólido",0,1903,Desembarcados,"",0
747341,BRARE,T1,"Areia Branca",2016,fev,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,28,0,2,0,2,31,16032048,BRSAL,BRARE,2501,"Granel Sólido",0,849,Desembarcados,"",0
806008,BRARE,"Cais Comercial","Areia Branca",2016,dez,Apoio,"Apoio Portuário","Cais Comercial de Atracação de Barcaças",1,0,0,3,0,3,3,17712853,BRSAL,BRARE,2501,"Granel Sólido",0,774,Desembarcados,"",0
753540,BRARE,T1,"Areia Branca",2016,mar,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,4,0,6,0,6,10,16183073,BRSAL,BRARE,2501,"Granel Sólido",0,1111,Desembarcados,"",0
753603,BRARE,T1,"Areia Branca",2016,mar,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,0,0,6,0,6,6,16183082,BRSAL,BRARE,2501,"Granel Sólido",0,1615,Desembarcados,"",0
797086,BRARE,T1,"Areia Branca",2016,nov,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,23,0,5,0,6,29,17400022,BRSAL,BRARE,2501,"Granel Sólido",0,658,Desembarcados,"",0
753569,BRARE,T1,"Areia Branca",2016,mar,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,21,0,6,0,6,27,16183077,BRSAL,BRARE,2501,"Granel Sólido",0,1699,Desembarcados,"",0
753976,BRARE,T1,"Areia Branca",2016,mar,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,3,0,2,0,2,5,16191403,BRSAL,BRARE,2501,"Granel Sólido",0,760,Desembarcados,"",0
744741,BRARE,T1,"Areia Branca",2016,fev,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,3,0,2,0,2,6,15965962,BRSAL,BRARE,2501,"Granel Sólido",0,909,Desembarcados,"",0
745408,BRARE,T1,"Areia Branca",2016,fev,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,0,0,2,0,2,2,16006266,BRSAL,BRARE,2501,"Granel Sólido",0,767,Desembarcados,"",0
744744,BRARE,T1,"Areia Branca",2016,fev,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,1,0,5,0,5,6,15965965,BRSAL,BRARE,2501,"Granel Sólido",0,1692,Desembarcados,"",0
745430,BRARE,T1,"Areia Branca",2016,fev,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,6,0,4,0,5,11,16006294,BRSAL,BRARE,2501,"Granel Sólido",0,1326,Desembarcados,"",0
743215,BRARE,T1,"Areia Branca",2016,fev,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,3,0,3,0,4,8,15892497,BRSAL,BRARE,2501,"Granel Sólido",0,1263,Desembarcados,"",0
744700,BRARE,T1,"Areia Branca",2016,fev,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,4,0,6,0,7,11,15965917,BRSAL,BRARE,2501,"Granel Sólido",0,1961,Desembarcados,"",0
753864,BRARE,T1,"Areia Branca",2016,mar,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,0,0,5,0,5,5,16189850,BRSAL,BRARE,2501,"Granel Sólido",0,1735,Desembarcados,"",0
751536,BRARE,T1,"Areia Branca",2016,mar,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,0,0,3,0,3,3,16116157,BRSAL,BRARE,2501,"Granel Sólido",0,885,Desembarcados,"",0
744659,BRARE,T1,"Areia Branca",2016,fev,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,2,0,2,0,2,5,15965875,BRSAL,BRARE,2501,"Granel Sólido",0,739,Desembarcados,"",0
744665,BRARE,T1,"Areia Branca",2016,fev,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,5,0,11,0,12,18,15965881,BRSAL,BRARE,2501,"Granel Sólido",0,887,Desembarcados,"",0
753041,BRARE,T1,"Areia Branca",2016,mar,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,13,0,6,0,6,19,16176950,BRSAL,BRARE,2501,"Granel Sólido",0,1601,Desembarcados,"",0
795633,BRARE,T1,"Areia Branca",2016,out,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,37,0,3,0,3,40,17383878,BRSAL,BRARE,2501,"Granel Sólido",0,775,Desembarcados,"",0
753042,BRARE,T1,"Areia Branca",2016,mar,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,12,0,3,0,3,16,16176951,BRSAL,BRARE,2501,"Granel Sólido",0,885,Desembarcados,"",0
751511,BRARE,T1,"Areia Branca",2016,mar,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,1,0,4,0,4,5,16116225,BRSAL,BRARE,2501,"Granel Sólido",0,1614,Desembarcados,"",0
751564,BRARE,T1,"Areia Branca",2016,mar,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,0,0,5,0,5,5,16116191,BRSAL,BRARE,2501,"Granel Sólido",0,1583,Desembarcados,"",0
751571,BRARE,T1,"Areia Branca",2016,mar,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,0,0,8,0,8,8,16116198,BRSAL,BRARE,2501,"Granel Sólido",0,1625,Desembarcados,"",0
751567,BRARE,T1,"Areia Branca",2016,mar,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,0,0,3,0,3,4,16116194,BRRIG,BRARE,2501,"Granel Sólido",0,1084,Desembarcados,"",0
751533,BRARE,T1,"Areia Branca",2016,mar,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,2,0,5,0,5,8,16116151,BRSAL,BRARE,2501,"Granel Sólido",0,1715,Desembarcados,"",0
799837,BRARE,T1,"Areia Branca",2016,nov,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,1,0,10,0,10,12,17543086,BRSAL,BRARE,2501,"Granel Sólido",0,712,Desembarcados,"",0
751581,BRARE,T1,"Areia Branca",2016,mar,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,0,0,4,0,4,4,16116211,BRSAL,BRARE,2501,"Granel Sólido",0,1515,Desembarcados,"",0
757031,BRARE,T1,"Areia Branca",2016,abr,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,0,0,4,0,4,4,16270776,BRSAL,BRARE,2501,"Granel Sólido",0,964,Desembarcados,"",0
